pr,committer,weight
18153,Dan Abramov,0.9034158212875886
18149,Sebastian Silbermann,0.9065364287027362
18149,Brian Vaughn,0.918375112475328
18145,Sebastian Markbage,0.9028670505340763
18144,Minh Nguyen,0.9028440384447928
18143,Sunil Pai,0.9027075169801463
18136,Sebastian Markbage,0.9021405052681992
18126,Dominic Gannaway,0.9017252626843144
18108,Haseeb Furkhan Mohammed,0.9002374136479739
18108,Brian Vaughn,0.9013276623998607
18107,Ruslan Shuster,0.8994017582433531
18096,Brian Vaughn,0.8988050766283525
18094,Sebastian Markbage,0.8983463597098056
18084,Dominic Gannaway,0.8988553639846744
18080,Dominic Gannaway,0.8971487776471613
18075,Dominic Gannaway,0.8969933349297573
18074,Sunil Pai,0.896980717737722
18073,Dominic Gannaway,0.896979375290259
18070,Sebastian Silbermann,0.9019425154320988
18070,Brian Vaughn,0.9183768086758388
18064,Dominic Gannaway,0.8962748488839545
18048,Mojtaba Izadmehr,0.8955657946035592
18046,Hristo Kanchev,0.897695407093306
18046,Brian Vaughn,0.9026630982961802
18041,Haseeb Furkhan Mohammed,0.8929539906367312
18039,ryota-murakami,0.892951107700569
18039,Ryota Murakami,0.8932555031275398
18036,Eli White,0.8925520742627424
18035,Sebastian Silbermann,0.9077059689326212
18034,Sunil Pai,0.8924108723731569
18031,Sebastian Markbage,0.8918706370457448
18030,Brian Vaughn,0.8918310620573551
18029,Andrew Clark,0.8941338129861837
18025,Dominic Gannaway,0.8914792319749216
18023,Luna Ruan,0.9067826251015906
18015,Dominic Gannaway,0.8906386965923604
18013,Dan Abramov,0.8901598748349153
18012,Dan Abramov,0.8901404399599443
18000,Brian Vaughn,0.9052126959516408
17998,Dominic Gannaway,0.8900832861662603
17996,Dominic Gannaway,0.8878809920323929
17990,Dominic Gannaway,0.8867735272988506
17985,Sunil Pai,0.8863991658684547
17984,Chris Lüer,0.8867396713180657
17978,Luna Ruan,0.885572807819575
17949,Andrew Clark,0.883329466238051
17947,Brian Vaughn,0.8853522427943226
17934,Mojtaba Izadmehr,0.8875895158481365
17933,Sebastian Markbage,0.880998359130094
17929,Brian Vaughn,0.8843622981491156
17925,Brian Vaughn,0.8825927498161693
17915,Sunil Pai,0.8790866187013816
17910,Brian Vaughn,0.8933168309048337
17908,Andrew Clark,0.8674965682930842
17901,Nicolas Gallagher,0.8761078487218933
17896,Simen Bekkhus,0.8763890884418902
17896,Sebastian Silbermann,0.8760754379886024
17882,Dominic Gannaway,0.8753512540999071
17880,Dominic Gannaway,0.8743910866930802
17864,Luna Ruan,0.871436618338558
17852,Mohamad Jahani,0.8701972520947018
17848,wfnuser,0.8800741365315717
17841,Brian Vaughn,0.8691028278474399
17840,Dan,0.8690790674344016
17835,Dominic Gannaway,0.8688051764048531
