pr,reviewer,weight
17385,glemaitre,0.00013858207241752737
17385,lucyleeow,0.7568015977208047
17384,adrinjalali,0.7587027339721613
17384,NicolasHug,1.0116136837133942
17384,goerch,1.013338516761409
17383,NicolasHug,1.02486169587373
17383,zaccharieramzi,1.0242989900706656
17379,thomasjpfan,0.06389529385209565
17379,NicolasHug,0.035769031038015424
17379,fujiaxiang,0.19016219728208783
17379,jnothman,1.0039369167714183
17377,glemaitre,0.019960194465959744
17377,lucyleeow,0.020018665173055145
17377,ogrisel,0.3190873220381283
17373,rth,1.0199607503366266
17373,lucyleeow,1.0199124023765387
17369,thomasjpfan,1.0222366280917157
17367,thomasjpfan,0.31474019123531083
17367,jnothman,0.00013760268510397682
17367,cmarmo,0.10976975807284614
17361,NicolasHug,0.19212510488628437
17361,thomasjpfan,0.767333837416801
17361,rth,0.5109104182141598
17361,jnothman,0.7699726811830114
17359,glemaitre,1.026739273935772
17359,NicolasHug,1.0265451041831062
17357,NicolasHug,0.7704451868855187
17357,glemaitre,1.0266518925369081
17357,adrinjalali,0.7526325478402733
17356,thomasjpfan,0.5132313811894035
17356,glemaitre,1.026433271401062
17349,thomasjpfan,1.2479029485459954
17344,thomasjpfan,1.0278424292102202
17344,adrinjalali,1.0275552327749806
17337,lucyleeow,1.0281342195856484
17337,glemaitre,1.0281036594422717
17336,thomasjpfan,0.7710780576832093
17336,alfaro96,1.028058273834156
17335,jnothman,1.02250712731098
17335,thomasjpfan,1.022494198399705
17335,erinkhoo,1.015502439815431
17332,glemaitre,0.7710307608851272
17332,thomasjpfan,1.0279693529272516
17328,KumarGanesha1996,1.0286053542463978
17328,glemaitre,0.06418390746491348
17328,jjerphan,0.063912449482118
17328,rth,0.0360081585310716
17328,lucyleeow,0.7699116170829385
17328,thomasjpfan,1.0161207736605156
17325,thomasjpfan,1.0287904326041586
17325,justmarkham,1.0287640801158071
17323,amueller,0.11235478768551382
17323,NicolasHug,5.632810569703223e-06
17318,NicolasHug,1.0294479141853567
17317,amueller,0.0017215163710256902
17317,NicolasHug,0.3138638196357001
17317,thomasjpfan,0.7521783099170968
17317,jnothman,0.06356468467389328
17314,NicolasHug,1.1816857362852642
17314,jnboehm,1.197443366031946
17310,jnothman,0.7717020111702575
17310,tianchuliang,0.7715605373179595
17309,jnothman,1.0289411231998251
17306,alfaro96,0.06417694334409811
17306,NicolasHug,0.19257510736589536
17306,glemaitre,0.7756583224176368
17305,NicolasHug,1.0311961586742542
17305,jnothman,1.0291251791386478
17305,cmarmo,1.0287201856848558
17290,glemaitre,0.3214594825463254
17290,lucyleeow,1.0314280641354006
17272,adrinjalali,0.5167872183219676
17272,thomasjpfan,1.0335617779899535
17272,NicolasHug,1.0335514373584747
17269,jnothman,1.0330820572582593
17269,lucyleeow,0.7747878966646851
17269,adrinjalali,1.0330352002978094
17266,jjerphan,2.8877139227270654e-05
17266,smarie,0.050723104922458864
17265,cmarmo,1.072673458059702
17265,vaibhavmehrotraml,0.8633965665537637
17261,joshuacwnewton,1.0333087491165822
17261,Bharat123rox,1.0365397963982401
17259,jeremiedbb,0.06461903651488354
17259,glemaitre,0.02019233993041953
17259,NicolasHug,0.011105309561907483
17258,jona-sassenhagen,0.7672534785308472
17258,acharles7,0.010823656593249253
17258,jnothman,0.010767965018189187
17252,adrinjalali,1.0330235390940326
17252,rth,0.5161379207913432
17252,NicolasHug,0.7741743936902498
17250,rth,1.0355473799681285
17249,rth,1.0355450035350973
17247,alfaro96,1.0360590599687047
17245,NicolasHug,1.0361496010577
17235,NicolasHug,1.0360740963465367
17235,jeremiedbb,1.0360640971309714
17233,zoj613,0.011099999448898433
17233,glemaitre,0.11306060359623808
17233,NicolasHug,0.5160208088681637
17228,thomasjpfan,0.766112777560957
17228,slackito,0.31743112803844453
17228,adrinjalali,1.0082986046575375
